paper_id,title,year,venue,primary_full_text_url,local_pdf,pdf_sha256,page_count,reading_status,sections_completed,key_equations,key_tables,key_ablations,code_url,stage1_support,stage1_non_support,transfer_boundary,note_path,reviewed_at
P027,"A Structural SVM Based Approach for Optimizing Partial AUC",2013,"ICML 2013; PMLR 28(1)",https://proceedings.mlr.press/v28/narasimhan13.pdf,source_papers/Structural_SVM_Partial_AUC_ICML_2013.pdf,3181AD0BD445DEB002F3F3D6C4A415E5FA008F61219A79DE6078856DB84DF51B,11,FULL_READ_COMPLETE,"MAIN_9_OF_9;SUPPLEMENT_2_OF_2;DEFINITIONS;OP1_TO_OP6;THEOREMS_1_TO_2;ALGORITHMS_1_TO_2;ALL_EXPERIMENTS;NEGATIVE_RESULTS;VISUAL_MAIN_P1_TO_P9_SUPP_P1_TO_P2","normalized_empirical_pAUC;ordering_matrix;structural_upper_bound;loss_augmented_inference;dynamic_tail_membership","Figure1_to_Figure4;Table1_to_Table5;Algorithms1_to_2","target_pAUC_vs_full_AUC;four_applications;beta_runtime;epsilon_relaxation;split_protocols",http://clweb.csa.iisc.ernet.in/harikrishna/Papers/SVMpAUC/,"State-dependent tail membership; non-decomposable set loss; tail turnover and endpoint accounting","Linear SVM only; no replay or FN95 constraint; non-universal gains; legacy code unavailable; group dependence and transductive preprocessing","Use model-defined tail turnover and pair diagnostics under canonical training; do not import SVM formulation or numeric settings",notes/P027_Structural_SVM_Partial_AUC_ICML_2013.md,2026-08-07
P028,"When All We Need is a Piece of the Pie: A Generic Framework for Optimizing Two-way Partial AUC",2021,"ICML 2021; PMLR 139",https://proceedings.mlr.press/v139/yang21k/yang21k.pdf,source_papers/Generic_TPAUC_ICML_2021.pdf,D56147C96D2287AF5FF09FF9E7EEDBF87BC0967B9C3FB76646B72B81A9C30DF5,25,FULL_READ_COMPLETE,"MAIN_10_OF_10;SUPPLEMENT_15_OF_15;DEFINITIONS;PROPOSITIONS_1_TO_3;THEOREM_1;ALL_EXPERIMENTS;ALL_SENSITIVITY_PLOTS;NEGATIVE_RESULTS;VISUAL_MAIN_P1_TO_P10_SUPP_P1_TO_P15","TPAUC_joint_tail;bi_level_tail_selection;penalty_weight_duality;concave_pair_weights;conditional_generalization_bound","Figure1_to_Figure8;Table1_to_Table2","Poly_vs_Exp;delay_epoch_grid;gamma_grid;three_TPAUC_regions;nine_binary_subsets",,"Joint model-dependent positive and negative tails; pairwise value; training-stage sensitivity; hard versus smooth tail diagnostics","No replay or FN95 constraint; broad 30-50 percent tails; no seed count or uncertainty; incomplete epoch/grid details; no official code; no canonical hyperparameter support","Use dynamic two-tail membership and pair diagnostics inside fixed canonical causal arms; do not import losses, schedules, percentages, or optimizer settings",notes/P028_Generic_TPAUC_ICML_2021.md,2026-08-07
P029,"Not All Samples Are Created Equal: Deep Learning with Importance Sampling",2018,"ICML 2018; PMLR 80",https://proceedings.mlr.press/v80/katharopoulos18a/katharopoulos18a.pdf,source_papers/Importance_Sampling_2018.pdf,1D6726829DD83572323499D6DBE238B9251E529362BDE12937D0969104487FD8,14,FULL_READ_COMPLETE,"MAIN_10_OF_10;SUPPLEMENT_4_OF_4;EQUATIONS_1_TO_26;ALGORITHM_1;ALL_EXPERIMENTS;ALL_ABLATIONS;NEGATIVE_RESULTS;OFFICIAL_CODE_V0_7_AUDIT;VISUAL_MAIN_P1_TO_P10_SUPP_P1_TO_P4","unbiased_importance_weight;gradient_norm_distribution;last_preactivation_gradient_bound;variance_reduction;equivalent_batch_tau","Figure1_to_Figure5;SupplementFigure1_to_Figure2;Algorithm1","true_gradient_vs_bound_vs_loss;CIFAR10_CIFAR100;MIT67;permuted_MNIST;presampling_B;SVRG_comparison",https://github.com/idiap/importance-sampling,"Fresh state-dependent gradient leverage; variance and covariance diagnostics; last-head approximation; score staleness and exposure fields","Gradient magnitude is not target value; no FN95 or replay objective; three-run evidence; fixed-wall-clock outcome; incomplete resumability; no canonical hyperparameter support","Collect magnitude alignment covariance staleness and realized exposure separately under fixed canonical causal arms; do not import sampler or numeric settings",notes/P029_Importance_Sampling_ICML_2018.md,2026-08-07
P030,"Meta-Weight-Net: Learning an Explicit Mapping For Sample Weighting",2019,"NeurIPS 2019",https://proceedings.neurips.cc/paper_files/paper/2019/file/e58cc5ca94270acaceed13bc82dfedf7-Paper.pdf,source_papers/Meta_Weight_Net_2019.pdf,11DBB5BF05F6AEC256F8170B44F9310DCF2F0292EADEAE98C237CF85FE5915D3,24,FULL_READ_COMPLETE,"MAIN_12_OF_12;APPENDIX_UNIQUE_11_OF_11;AUTHOR_FEEDBACK_1_OF_1;OFFICIAL_REVIEWS_AND_METAREVIEW;EQUATIONS_1_TO_45;ALGORITHMS_1_TO_2;ALL_EXPERIMENTS;ALL_ABLATIONS;NEGATIVE_RESULTS;OFFICIAL_CODE_STABLE_COMMIT_AUDIT;VISUAL_24_UNIQUE_PAGES","bilevel_weighting_objective;one_step_virtual_update;meta_train_gradient_dot;scalar_loss_weight_function;normalization;convergence_conditions","Table1_to_Table5;Figure1_to_Figure13;Algorithms1_to_2","class_imbalance;uniform_noise;flip_noise;Clothing1M;MLP_architecture;network_architecture;training_length;proof_rebuttal;code_paper_differences;meta_train_overlap_probe",https://github.com/xjtushujun/meta-weight-net,"Conditional loss weighting; target-gradient direction; role-separated clean probe; same-loss directional-dispersion test","Scalar weight is not identity value; disputed narrow theory; code split overlap; no replay timing or FN95 constraint; no canonical hyperparameter support","Use separate normal-tail and weak-defect alignment plus strict split lineage inside fixed causal arms; do not import MW-Net or numeric settings",notes/P030_Meta_Weight_Net_NeurIPS_2019.md,2026-08-07
P031,"Automated Curriculum Learning for Neural Networks",2017,"ICML 2017; PMLR 70",https://proceedings.mlr.press/v70/graves17a/graves17a.pdf,source_papers/Automated_Curriculum_2017.pdf,AE2C83B04CEB61E45224E8C3FC26EC7EF1F7CF22398CAA3FFF3256B7D15EA7C1,10,FULL_READ_COMPLETE,"MAIN_10_OF_10;EQUATIONS_1_TO_8;ALGORITHM_1;ALL_PROGRESS_SIGNALS;ALL_EXPERIMENTS;ALL_FIGURES;NEGATIVE_RESULTS;VISUAL_MAIN_P1_TO_P10","nonstationary_Exp3S_syllabus;prediction_gain;gradient_prediction_gain;self_prediction_gain;target_prediction_gain;complexity_gain;expected_PG_equals_progress_plus_gradient_variance","Figure1_to_Figure5;Algorithm1","n_gram;repeat_copy;bAbI;PG_vs_GPG_vs_SPG_vs_TPG;ML_vs_VI;uniform_vs_target;early_late_reversal",,"Nonstationary conditional value; independent progress probes; gradient-variance decomposition; exposure and adaptive-state fields","Gradient squared norm is biased proxy; mixed and negative results; synthetic task-level curricula; no replay or FN95 objective; no code; no canonical hyperparameter support","Collect self versus independent-probe gain and gradient dispersion inside fixed canonical timing arms; do not import bandit or numeric settings",notes/P031_Automated_Curriculum_ICML_2017.md,2026-08-07
P032,"On the Power of Curriculum Learning in Training Deep Networks",2019,"ICML 2019; PMLR 97",https://proceedings.mlr.press/v97/hacohen19a/hacohen19a.pdf,source_papers/Curriculum_Power_2019.pdf,78326719D8F9AB5B601615BE3F7C7A69B3B523B18258DDF13FC3D8AB4A7F2146,14,FULL_READ_COMPLETE,"MAIN_10_OF_10;SUPPLEMENT_4_OF_4;ALGORITHM_1;PROPOSITIONS_1_TO_3;ALL_SIX_CASES;ALL_ABLATIONS;NEGATIVE_RESULTS;OFFICIAL_CODE_HEAD_AUDIT;VISUAL_14_UNIQUE_PAGES","scoring_function;pacing_function;fixed_exponential;varied_exponential;single_step;utility_covariance;ideal_curriculum","Figure1_to_Figure13;Algorithm1;Propositions1_to_3","transfer_vs_self_taught_vs_self_paced;curriculum_vs_anti_vs_random;single_step;varied_pacing;AUC_selection;repeated_bootstrapping;learning_rate_confound;gradient_mean_variance",https://github.com/GuyHacohen/curriculum_learning,"Scoring-pacing separation; exposure and effective-step fields; timing-dose causal control; proxy-error accumulation","No replay or FN95 objective; arm-specific tuning; conditional theory; partial untagged code; no cross-seed reversal test; no canonical hyperparameter support","Use as design evidence for same-selection same-seed canonical-locked timing and dose controls; do not import efficacy or numeric settings",notes/P032_Curriculum_Power_ICML_2019.md,2026-08-08
P033,"AutoSampling: Search for Effective Data Sampling Schedules",2021,"ICML 2021; PMLR 139",https://proceedings.mlr.press/v139/sun21a/sun21a.pdf,source_papers/AutoSampling_2021.pdf,B9218612E2072FD3F047408F0440CD807425427D78DEB12942EB84BFB0F6A745,11,FULL_READ_COMPLETE,"MAIN_11_OF_11;EQUATIONS_1_TO_7;ALGORITHMS_1_TO_2;TABLES_1_TO_6;FIGURES_1_TO_4;ALL_ABLATIONS;NEGATIVE_RESULTS;VISUAL_MAIN_P1_TO_P11","schedule_bilevel_objective;multi_exploitation_reward;identity_frequency_distribution;log_uniform_mixture","Table1_to_Table6;Figure1_to_Figure4;Algorithms1_to_2","worker_count;reward_interval;uniform_vs_random_vs_mixture;static_vs_dynamic;cross_architecture_transfer;frequency_vs_loss",,"Dynamic path value; all-epoch exposure drift; short-horizon reward fields; concentration and coverage controls; adaptive lineage","Population winner and validation confounding; no FN95 objective; unexplained uncertainty; no code or seed protocol; no canonical hyperparameter support","Collect dynamic exposure and finite-intervention diagnostics inside fixed no-branch canonical arms; do not import method or numeric settings",notes/P033_AutoSampling_ICML_2021.md,2026-08-08
P034,"Gradient Episodic Memory for Continual Learning",2017,"NeurIPS 2017",https://proceedings.neurips.cc/paper_files/paper/2017/file/f87522788a2be2d171666752f97ddebb-Paper.pdf,source_papers/Gradient_Episodic_Memory_2017.pdf,9AA6A5F73220449CBE8B2C9BD4BDC3F5407AC49295C4CA1F242A36E79E34B763,17,FULL_READ_COMPLETE,"MAIN_10_OF_10;SUPPLEMENT_7_OF_7;EQUATIONS_1_TO_11;ALGORITHM_1;TABLES_1_TO_3;FIGURE_1;FULL_EVALUATION_MATRICES;OFFICIAL_CODE_HISTORY_AUDIT;VISUAL_17_UNIQUE_PAGES","backward_transfer;forward_transfer;memory_loss_constraint;gradient_dot_constraint;primal_and_dual_QP_projection","Figure1;Table1_to_Table3;Supplement_B_full_R_matrices","memory_size;one_vs_two_vs_five_passes;method_specific_grid_search;seed0_runner;post_paper_QP_PSD_fix",https://github.com/facebookresearch/GradientEpisodicMemory,"Role-separated gradient conflict signs; aggregate versus identity probe dispersion; finite-intervention validation; cumulative-exposure interpretation","Continual multi-task setting; local linear and representative-memory assumptions; one seed; method-specific tuning; post-paper code fix; evaluation bug; no FN95 objective or canonical support","Use only to specify bounded last-layer conflict diagnostics under the canonical schedule experiment; do not import GEM training or numeric settings",notes/P034_GEM_NeurIPS_2017.md,2026-08-08
P035,"Deep Batch Active Learning by Diverse, Uncertain Gradient Lower Bounds",2020,"ICLR 2020",https://arxiv.org/pdf/1906.03671v2,source_papers/BADGE_ICLR_2020.pdf,D3901AA393ACB598BEED4A5432F52F080237E50AD443659A18E65B1B1F4CE176,26,REPLICATION_DEPTH,"MAIN_AND_APPENDICES_26_OF_26;ALGORITHMS_1_TO_2;EQUATION_1;PROPOSITION_1;FIGURES_1_TO_31;ALL_LEARNING_CURVES;PAIRWISE_TESTS;NEGATIVE_RESULTS;OFFICIAL_CODE_FULL_HISTORY_AUDIT;VISUAL_26_UNIQUE_PAGES","hallucinated_label_gradient_embedding;true_label_norm_lower_bound;kmeanspp_distance_sampling;binary_logistic_low_margin_argument","Figure1_to_Figure31;Algorithm1_to_Algorithm2;Proposition1","uncertainty_vs_diversity;batch_size;architecture;kmeanspp_vs_kDPP;representation_failure;five_repeat_pairwise_tests;paper_code_first_center_discrepancy",https://github.com/JordanAsh/badge,"Checkpoint-conditioned gradient geometry; uncertainty-diversity separation; true-versus-hallucinated embedding diagnostics; redundancy and coverage fields","Active acquisition not labeled replay; no signed tail utility; retrain-from-scratch; weak reproducibility; code-paper seeding mismatch; no FN95 objective or canonical support","Use only for bounded candidate-geometry and diversity diagnostics after mechanism-based pool definition; do not import method efficacy or numeric settings",notes/P035_BADGE_ICLR_2020.md,2026-08-08
P036,"Outlier Gradient Analysis: Efficiently Identifying Detrimental Training Samples for Deep Learning Models",2025,"ICML 2025; PMLR 267",https://proceedings.mlr.press/v267/chhabra25a/chhabra25a.pdf,source_papers/Outlier_Gradient_Analysis_ICML_2025.pdf,FB335EF102851257982B587F5C9B9E36AD84E9E4D7FEC0874F946F987D053E8D,20,REPLICATION_DEPTH,"MAIN_AND_APPENDICES_20_OF_20;EQUATIONS_1_TO_2;OBSERVATION_3_1;HYPOTHESIS_3_2;ALGORITHM_1;FIGURES_1_TO_4;TABLES_1_TO_13;ALL_ABLATIONS;LIMITATIONS;OFFICIAL_CODE_FULL_HISTORY_AUDIT;VISUAL_20_UNIQUE_PAGES","influence_sign;raw_gradient_outlier_hypothesis;trimming_operator;target_direction_information_loss","Table1_to_Table13;Figure1_to_Figure4;Algorithm1;Observation3_1;Hypothesis3_2","outlier_detector;trimming_budget;noise_regime;architecture;ImageNet_subset;distribution_shift;detection_vs_post_trim_failure;paper_code_pretraining_mismatch",https://github.com/anshuman23/outlier-gradient-analysis,"Gradient-outlier risk fields; detector and budget sensitivity; signed-tail alignment must remain separate; finite-intervention calibration","Outlier status is not influence sign or replay value; removal is not replay; test-informed budget and epoch selection; no same-selection cross-seed test; no FN95 objective or canonical support","Use only as bounded checkpoint-conditioned risk and geometry diagnostics under the canonical schedule experiment; do not import method or numeric settings",notes/P036_OGA_ICML_2025.md,2026-08-08
P037,"D2 Pruning: Message Passing for Balancing Diversity & Difficulty in Data Pruning",2024,"ICLR 2024",https://proceedings.iclr.cc/paper_files/paper/2024/file/f646a4c970799f789e031b63161d018d-Paper-Conference.pdf,source_papers/D2_Pruning_ICLR_2024.pdf,A27D3E6D5D9F62AD0D895054B6889ED185E7B0A290EF700773AEED31DC12CFF3,20,REPLICATION_DEPTH,"MAIN_AND_APPENDICES_20_OF_20;ALGORITHM_1;MESSAGE_PASSING_EQUATIONS;FIGURES_1_TO_5;TABLES_1_TO_13;ALL_ABLATIONS;EXTREME_PRUNING_FAILURES;DATACOMP;OFFICIAL_CODE_FULL_HISTORY_AUDIT;VISUAL_20_UNIQUE_PAGES","forward_difficulty_diffusion;reverse_redundancy_suppression;ordered_prefix_conditioning;coverage_difficulty_tradeoff","Table1_to_Table13;Figure1_to_Figure5;Algorithm1","difficulty_score;pruning_budget;embedding_source;k_neighbors;gamma_forward;gamma_reverse;message_pass_rounds;DataComp_composition;paper_code_distance_mismatch",https://github.com/adymaharana/d2pruning,"Set-conditioned value; local density and neighborhood composition; ordered suppression lineage; coverage and effective-rank fields; graph and set churn","One-shot pruning is not replay; no signed tail utility; no same-selection cross-seed test; inconsistent extreme-pruning winner; representation failures; weak split and reproducibility controls","Use only for bounded graph and set-interaction diagnostics under canonical schedule experiments; do not import D2 arm, graph parameters, pruning rates, or training settings",notes/P037_D2Pruning_ICLR_2024.md,2026-08-08
P038,"Dataset Pruning: Reducing Training Data by Examining Generalization Influence",2023,"ICLR 2023",https://arxiv.org/pdf/2205.09329v2,source_papers/Dataset_Pruning_ICLR_2023.pdf,BD66704C09AC2C7FD693E6FDBE41E1C05C984924C59B9E75AAC74933EAD36CE0,13,FULL_READ_COMPLETE,"FULL_13_OF_13;DEFINITION_1;EQUATIONS_1_TO_14;ALGORITHM_1;THEOREM_1_AND_PROOF;FIGURES_1_TO_4;TABLE_1;ALL_EXPERIMENTS;VISUAL_13_UNIQUE_PAGES","parameter_influence;aggregate_vector_cancellation;cardinality_constrained_subset_influence;local_expected_loss_bound","Figure1_to_Figure4;Table1;Algorithm1;Theorem1","pruning_ratio;individual_norm_vs_group_vector;architecture_transfer;NAS_proxy;epsilon_scaling_ambiguity;finite_removal_approximation;missing_seed_uncertainty",,"Set-conditioned vector influence; norm-of-sum versus sum-of-norms; cancellation and pairwise direction fields; finite-intervention residual","Removal and retraining are not replay; average-loss and parameter proximity do not protect FN tail; local Hessian/Taylor assumptions; epsilon scaling ambiguity; no uncertainty or code","Use only for set-level vector interaction and finite-proxy calibration under canonical timing experiments; do not import pruning method or numeric settings",notes/P038_Dataset_Pruning_ICLR_2023.md,2026-08-08
P039,"Moderate Coreset: A Universal Method of Data Selection for Real-world Data-efficient Deep Learning",2023,"ICLR 2023",https://web.archive.org/web/20230314215630id_/http://openreview.net/pdf?id=7D5EECbOaf9,source_papers/Moderate_Coreset_ICLR_2023.pdf,311FF558997CFB4FCE94C7A5688C10B46502599452D61BFF86743DA6E43FFE82,20,REPLICATION_DEPTH,"FULL_20_OF_20;EQUATIONS_1_TO_3;DEFINITION_1;ALGORITHM_1;FIGURES_1_TO_7;TABLES_1_TO_13;ALL_IDEAL_AND_ROBUSTNESS_EXPERIMENTS;OFFICIAL_CODE_FULL_HISTORY_AUDIT;VISUAL_20_UNIQUE_PAGES","class_mean_distance;global_score_median_band;moderate_interval_heuristic;MINE_representation_proxy","Figure1_to_Figure7;Table1_to_Table13;Algorithm1","selection_ratio;scenario_shift;architecture_transfer;corruption;label_noise;adversarial_attack;higher_noise;paper_code_center_mismatch;split_and_seed_failures",https://github.com/tmllab/Moderate-DS,"Static score utility is interval-, budget-, representation-, and task-conditioned; moderate candidates can avoid both redundant-easy and corrupted-hard extremes; provenance and composition fields","No replay timing or dose; no weak-defect constraint; no gradient direction; no same-selection cross-seed test; no FN frontier; public code does not fully reproduce reported protocol","Use median proximity only as a diagnostic coordinate or bounded candidate baseline; do not add a formal arm or import paper ratios and training settings",notes/P039_Moderate_Coreset_ICLR_2023.md,2026-08-08
P040,"InfoBatch: Lossless Training Speed Up by Unbiased Dynamic Data Pruning",2024,"ICLR 2024 oral",https://proceedings.iclr.cc/paper_files/paper/2024/file/ad1d7a4df30a9c0c46b387815a774a84-Paper-Conference.pdf,source_papers/InfoBatch_ICLR_2024.pdf,1376FDBE53778E012D03BBAD863E3445A67C7CE314E5F1EA3071FF6E527ABA69,22,REPLICATION_DEPTH,"FULL_22_OF_22;EQUATIONS_1_TO_25;FIGURES_1_TO_9;TABLES_1_TO_12;ALL_ABLATIONS;FULL_APPENDIX_AND_PROOFS;OFFICIAL_SUPPLEMENT;OFFICIAL_CODE_FULL_HISTORY_AUDIT;VISUAL_22_UNIQUE_PAGES","dynamic_loss_score;soft_pruning_probability;importance_rescaling;expected_gradient_scaling;annealing;variance_bound;rescaling_limit","Figure1_to_Figure9;Table1_to_Table12;Equations1_to_25","soft_prune;rescale;anneal;prune_ratio;anneal_ratio;architecture;optimizer;task;finite_floor_bias;resume_and_rng_failures;method_specific_lr",https://github.com/NUS-HPC-AI-Lab/InfoBatch,"Dynamic inclusion and late residual correction; expectation versus realized path; schedule-dose separation; realized exposure and optimizer-path fields","Pruning is not extra replay; no weak-defect constraint or FN frontier; no paired same-selection seed reversal test; incomplete repeat and evaluation provenance; some method-specific retuning","Use only to justify continuous versus same-peak decay versus dose-matched decay and process telemetry under the exact Stage1 canonical lock; import no paper hyperparameter",notes/P040_InfoBatch_ICLR_2024.md,2026-08-08
P041,"Experience Replay for Continual Learning",2019,"NeurIPS 2019",https://proceedings.neurips.cc/paper_files/paper/2019/file/fa7cdfad1a5aaf8370ebeda47a1ff1c3-Paper.pdf,source_papers/Experience_Replay_NeurIPS_2019.pdf,68E9F35D56F26E13F5F9FB7C3519C4CD5195B1FB9A0ABC7A734744F5674FED73,11,FULL_READ_COMPLETE,"FULL_11_OF_11;SUPPLEMENT_3_OF_3;EQUATIONS_AND_ALL_METHOD_LOSSES;FIGURES_1_TO_12;ALL_EXPERIMENTS;FIVE_REVIEWS;META_REVIEW;AUTHOR_FEEDBACK;VISUAL_14_UNIQUE_PAGES","V_trace_target;policy_gradient;behavioral_cloning_KL;value_cloning;reservoir_sampling;stability_plasticity","Figure1_to_Figure12;DMLab_cumulative_table","behavioral_cloning;new_replay_ratio;pure_replay;buffer_size;probe_position;domain;three_run_uncertainty",,"Replay stability-plasticity tradeoff; cumulative dose and identity-concentration fields; no-replay necessity; protected endpoints must remain separate","Sequential RL is not stationary supervised duplicate replay; no FN frontier or weak-defect guard; only three runs; little destructive interference; no official code; no universal replay ratio","Use only as process evidence for paired canonical-locked replay timing/dose/concentration studies; import no ratio, buffer size, loss, or training hyperparameter",notes/P041_Experience_Replay_NeurIPS_2019.md,2026-08-08
P042,"Online Continual Learning with Maximal Interfered Retrieval",2019,"NeurIPS 2019",https://proceedings.neurips.cc/paper_files/paper/2019/file/15825aee15eb335cc13f9b559f166ee8-Paper.pdf,source_papers/MIR_NeurIPS_2019.pdf,400761B89077A1C1AF05F202F7437B426660A33E803FA388DAD7505C79E6516F,12,REPLICATION_DEPTH,"FULL_12_OF_12;SUPPLEMENT_3_OF_3;EQUATIONS_1_TO_3;ALGORITHMS_1_TO_3;FIGURES_1_TO_8;TABLES_1_TO_7;ALL_ABLATIONS;THREE_REVIEWS;META_REVIEW;AUTHOR_FEEDBACK;PUBLIC_AND_SUBMISSION_CODE_AUDIT;VISUAL_15_UNIQUE_PAGES","virtual_SGD_update;finite_loss_change;first_order_gradient_conflict;s_MI1;s_MI2;candidate_presampling;reservoir_sampling","Figure1_to_Figure8;Table1_to_Table7;Algorithm1_to_Algorithm3","candidate_size;historical_loss;memory_size;real_update_count;entropy;diversity;generator_component;hybrid_distribution_shift;buffer_and_index_defects",https://github.com/optimass/Maximally_Interfered_Retrieval,"Checkpoint-conditioned finite interference and signed gradient conflict; candidate-pool and optimizer-aware fields; protected normal and weak-defect endpoints remain separate","Continual task forgetting is not Stage1 tail safety; no static value guarantee; plain-SGD virtual step is optimizer-specific; code has reservoir/index/provenance defects; some endpoints and repeat contracts conflict","Use as a checkpoint diagnostic and finite-versus-linear validation only; add no arm or paper hyperparameter; retain canonical continuous/decay/dose controls",notes/P042_MIR_NeurIPS_2019.md,2026-08-08
P043,"Accounting for Variance in Machine Learning Benchmarks",2021,"MLSys 2021; Proceedings of Machine Learning and Systems 3",https://proceedings.mlsys.org/paper_files/paper/2021/file/0184b0cd3cfb185989f858a1d9f5c1eb-Paper.pdf,source_papers/Accounting_Variance_MLSys_2021.pdf,7BEFBC13CC306DAA9FA7DBFF71B2C3DA1ACA245A22C7EBC1C7DEF28593AE857F,23,FULL_READ_COMPLETE,"FULL_23_OF_23;EQUATIONS_1_TO_12;ALGORITHMS_1_TO_2;FIGURES_1_TO_6_AND_APPENDIX;ALL_CASE_STUDIES;STATISTICAL_APPENDIX;REPRODUCIBILITY_APPENDIX;LIMITATIONS;VISUAL_23_UNIQUE_PAGES","pipeline_expected_risk;ideal_estimator;fixed_HOpt_bias;correlated_estimator_variance;probability_of_outperformance;paired_comparison;Noether_sample_size","Figure1_to_Figure6;FigureC1;FigureF2;FigureG3;FigureH4;FigureH5;FigureI6;Algorithms1_to_2","variance_sources;HOpt_variance;ideal_vs_biased_estimator;randomization_scope;pairing;sample_size;false_positive_false_negative;hardware_driver_resume_failures",,"Strict paired seed blocks; machine blocking; randomized arm order; unseen-seed replication; exact environment and RNG resume provenance; distributional paired reporting","No sample-value or replay-policy result; five case studies; iid and scalar-metric assumptions; gamma 0.75 and 29 runs are not universal; no official experiment code; no Stage1 tail frontier","Use for design and inference under the frozen canonical pipeline; do not import settings or alter splits in the first confirmation block; state the conditional estimand explicitly",notes/P043_Accounting_Variance_MLSys_2021.md,2026-08-08
P044,"Co-teaching: Robust Training of Deep Neural Networks with Extremely Noisy Labels",2018,"NeurIPS 2018",https://proceedings.neurips.cc/paper_files/paper/2018/file/a19744e268754fb0148b017647355b7b-Paper.pdf,source_papers/CoTeaching_NeurIPS_2018.pdf,89E578C4CD1B47ABE7FDE3A3406A373A4E6C3A8A0B473B0E8AA7BA75D0D948F8,11,REPLICATION_DEPTH,"FULL_11_OF_11;SUPPLEMENT_2_OF_2;ALGORITHM_1;TABLES_1_TO_8;FIGURES_1_TO_9;ALL_ABLATIONS;THREE_REVIEWS;FULL_CODE_HISTORY_AUDIT;VISUAL_13_UNIQUE_PAGES","small_loss_selection;R_T_drop_schedule;peer_cross_update;pair_and_symmetric_noise_transition","Algorithm1;Table1_to_Table8;Figure1_to_Figure9","noise_rate;schedule_shape;ramp_duration;retained_fraction;label_precision;low_vs_high_noise;code_schedule_and_exposure_mismatches",https://github.com/bhanML/Co-teaching,"Hardness and loss rank are checkpoint-dependent; extreme hard tails can contain noise; selection intensity is non-monotone; all-epoch selection and exposure fields","Synthetic known-noise setting; no replay or tail-safety objective; five repeats; no stable static value; official code has provenance, epoch, test-drop, gradient-scaling, and schedule discrepancies","Use as dynamic risk-stratification evidence only; do not add a two-network arm or import any paper setting; test whether late memorization fields explain paired Stage1 sign reversals",notes/P044_CoTeaching_NeurIPS_2018.md,2026-08-08
P045,"Train faster, generalize better: Stability of stochastic gradient descent",2016,"ICML 2016; PMLR 48",https://proceedings.mlr.press/v48/hardt16.pdf,source_papers/SGD_Stability_ICML_2016.pdf,E50B29E0F621998864CF8A403A3B5CB0D417264B9D98AA7B085B3BF051A11FB6,10,FULL_READ_COMPLETE,"CONFERENCE_10_OF_10;AUTHOR_FULL_VERSION_32_OF_32;DEFINITIONS_2_1_TO_4_5;THEOREMS_2_2_TO_5_2;FIGURES_1_TO_10;ALL_EXPERIMENTS;LIMITATIONS;APPENDIX_PROOFS;VISUAL_42_PAGES","uniform_stability;growth_recursion;convex_sum_step_size_bound;nonconvex_T_bound;optimization_stability_decomposition;early_vs_late_substitution","Figure1_to_Figure10;Theorem3_8;Theorem3_9;Theorem3_10;Theorem3_12;Theorem4_7;Proposition5_4","step_size;training_steps;early_vs_late_substitution;model_size;loss_function;regularization;dropout;iterate_averaging",,"Single-identity perturbations propagate through optimizer path; exposure timing dose remaining updates and learning-rate position must be logged; paired path divergence is diagnostic","Expected smooth-loss stability is not per-sample value; assumptions do not match YOLO exactly; early perturbation can propagate more; no proof that late replay decay helps; no official code or stated full replication contract","Use to strengthen canonical-locked continuous versus same-peak and dose-matched decay tests; add process fields only and import no paper hyperparameter",notes/P045_SGD_Stability_ICML_2016.md,2026-08-08
P046,"Data Shapley: Equitable Valuation of Data for Machine Learning",2019,"ICML 2019; PMLR 97",https://proceedings.mlr.press/v97/ghorbani19c/ghorbani19c.pdf,source_papers/DataShapley_ICML_2019.pdf,48979F27F610C834FFDA28AB48194C1AF13C453D32ADD965FC817BBA1E9B4407,10,REPLICATION_DEPTH,"FULL_10_OF_10;SUPPLEMENT_3_OF_3;PROPOSITION_2_1;EQUATIONS_1_TO_2;ALGORITHMS_1_TO_2;FIGURES_1_TO_8;ALL_EXPERIMENTS;FULL_CODE_AND_NOTEBOOK_AUDIT;VISUAL_13_PAGES","conditional_phi_D_A_V;coalition_marginal_contribution;permutation_expectation;TMC_truncation;one_pass_G_Shapley","Algorithm1_to_2;Figure1_to_8;Proposition2_1","learner_dependence;metric_dependence;subset_size;truncation;TMC_vs_exact;G_vs_TMC;label_noise;data_quality;group_value;code_provenance_defects",https://github.com/amiratag/DataShapley,"Value is explicitly conditional on data learner metric and context; interactions and budget matter; development and blind roles must be separate; tail utilities should stay separate","No universal scalar or top-k optimum; exact computation infeasible at 120k; image G-Shapley correlations only 0.57 to 0.62; one-pass tuned learner violates canonical lock; public code has correctness and durability defects","Use as conditional-value definition and interaction warning; optional small group intervention diagnostics only; formal campaign remains canonical-locked and coefficient-free",notes/P046_DataShapley_ICML_2019.md,2026-08-08
