reading_rank,selection_role,paper_id,queue_id,canonical_work_id,title,quota_rq,secondary_rqs,directness,relevance_class,effect_relation,selection_phase,tie_break_key,broad_source_path,broad_source_format,method_source_status,screened_credit
53,RESERVE_ALL,P0433,RGE1754B60E20FCE30,CWD6748874CDEB0C5CBE14,Measuring Fine-Grained Relatedness in Multitask Learning via Data Attribution,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ3;RQ5;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CWD6748874CDEB0C5CBE14,sources/P0433.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
54,RESERVE_ALL,P0437,RG7533D64E4CAC51D9,CW89E64871C5FEBFFE422A,SEEP: Training Dynamics Grounds Latent Representation Search for Mitigating Backdoor Poisoning Attacks,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ4;RQ6,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CW89E64871C5FEBFFE422A,sources/P0437.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
55,RESERVE_ALL,P0281,RGD8011BA26E53F4FC,CWFABA55345666BE674E74,UNICON: Combating Label Noise Through Uniform Selection and Contrastive Learning,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ4;RQ5,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CWFABA55345666BE674E74,sources/P0281.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
56,RESERVE_ALL,P0378,RG9F1E88A1B1295EAF,CW020A4185ABA004CDF4EC,New Insights on Reducing Abrupt Representation Change in Online Continual Learning,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ3;RQ6;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CW020A4185ABA004CDF4EC,sources/P0378.html,HTML,FULL_TEXT_DISCOVERY_REQUIRED,NOT_ASSESSED_AT_BROAD_LEVEL
57,RESERVE_ALL,P0246,RGDEB01B6B3033B87C,CW1221E81AF323D285E1A0,Multi-Label Noise Robust Collaborative Learning for Remote Sensing Image Classification,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ5,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CW1221E81AF323D285E1A0,sources/P0246.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
58,RESERVE_ALL,P0198,RGE8A424B22CF65CEC,CW50D21FC725813C0F96F7,SSR: An Efficient and Robust Framework for Learning with Unknown Label Noise,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ4,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CW50D21FC725813C0F96F7,sources/P0198.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
59,RESERVE_ALL,P0448,RG881E24A52F6F6658,CW9E47E2A3E9C2567C7BE0,How does Early Stopping Help Generalization against Label Noise?,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ4;RQ6,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CW9E47E2A3E9C2567C7BE0,sources/P0448.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
60,RESERVE_ALL,P0399,RGD4F17A4EBAFB850A,CW9C041A345AED06B053B5,Influence Dynamics and Stagewise Data Attribution,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ3;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CW9C041A345AED06B053B5,sources/P0399.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
61,RESERVE_ALL,P0234,RG215A13EC97C567D9,CW8C408263B34DB1BFAD6F,Meta self-paced learning,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ3;RQ6,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CW8C408263B34DB1BFAD6F,sources/P0234.html,HTML,FULL_TEXT_DISCOVERY_REQUIRED,NOT_ASSESSED_AT_BROAD_LEVEL
62,RESERVE_ALL,P0294,RG2E2062CDA4356359,CWCE617C2F312478E10A6F,Influcoder: Distilling Decoders' Gradient Influence Rankings into an Encoder for Data Attribution,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ3;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CWCE617C2F312478E10A6F,sources/P0294.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
63,RESERVE_ALL,P0176,RGB6DFBF9DB6006A42,CW2B79493D1548F34020BA,Generalizing Off-Policy Learning under Sample Selection Bias,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ3;RQ5;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CW2B79493D1548F34020BA,sources/P0176.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
64,RESERVE_ALL,P0443,RG58273450C7E07FB2,CW15F14534F94F6674F9AB,TRAK: Attributing Model Behavior at Scale,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ3;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CW15F14534F94F6674F9AB,sources/P0443.html,HTML,FULL_TEXT_DISCOVERY_REQUIRED,NOT_ASSESSED_AT_BROAD_LEVEL
65,RESERVE_ALL,P0180,RG9300ECB5F82C599B,CW5DD8F90BD1A625DE97B4,Phases of learning dynamics in artificial neural networks in the absence or presence of mislabeled data,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ3;RQ4;RQ6,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CW5DD8F90BD1A625DE97B4,sources/P0180.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
66,RESERVE_ALL,P0460,RGC67F47AC86D5015D,CW8AEC6750BA544BC31236,Data Valuation Without Training of a Model,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ3;RQ4;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CW8AEC6750BA544BC31236,sources/P0460.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
67,RESERVE_ALL,P0412,RGF638ECA68B9BA405,CWCEF4FDD908D5C4A34AFE,Convergence Results For Q-Learning With Experience Replay,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ5;RQ6,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CWCEF4FDD908D5C4A34AFE,sources/P0412.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
68,RESERVE_ALL,P0286,RG6BE7C5D6C38BD916,CW5A10EC69FDB2A76651EF,Meta Label Correction for Noisy Label Learning,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ3;RQ4,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CW5A10EC69FDB2A76651EF,sources/P0286.html,HTML,FULL_TEXT_DISCOVERY_REQUIRED,NOT_ASSESSED_AT_BROAD_LEVEL
69,RESERVE_ALL,P0057,RG678069BD7D02D709,CWF2692AF0AC650599B4A9,Towards Efficient Data Valuation Based on the Shapley Value,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ2;RQ3;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CWF2692AF0AC650599B4A9,sources/P0057.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
70,RESERVE_ALL,P0027,RG652F7CDC08C26894,CWA1BF6B309338109EDB1D,Clean Label Backdoor Attack Based on Feature Distance Guided Sample Selection and Noise Optimization,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ3;RQ4;RQ5,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CWA1BF6B309338109EDB1D,sources/P0027.html,HTML,FULL_TEXT_DISCOVERY_REQUIRED,NOT_ASSESSED_AT_BROAD_LEVEL
71,RESERVE_ALL,P0386,RGF0542944FBCBA891,CWDCA4D38E93471839A35C,Selective Prediction via Training Dynamics,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ4,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CWDCA4D38E93471839A35C,sources/P0386.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
72,RESERVE_ALL,P0414,RG0AB16F1091A59FC7,CWB1960629C316A8721BE4,A Bayesian Information-Theoretic Approach to Data Attribution,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ3;RQ5;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CWB1960629C316A8721BE4,sources/P0414.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
73,RESERVE_ALL,P0012,RG4799875EA5A4AEDC,CW25EB59E8B2BFDAE09FE4,Beta Shapley: a Unified and Noise-reduced Data Valuation Framework for Machine Learning,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ3;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CW25EB59E8B2BFDAE09FE4,sources/P0012.html,HTML,FULL_TEXT_DISCOVERY_REQUIRED,NOT_ASSESSED_AT_BROAD_LEVEL
74,RESERVE_ALL,P0215,RGD59D4171D2347E76,CW60ECC2CC98FA2C9F6803,Gradient Descent on Neural Networks Typically Occurs at the Edge of Stability,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ3;RQ6,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CW60ECC2CC98FA2C9F6803,sources/P0215.html,HTML,FULL_TEXT_DISCOVERY_REQUIRED,NOT_ASSESSED_AT_BROAD_LEVEL
75,RESERVE_ALL,P0376,RGA6C2960778DCEDE2,CW0C72B17B4D53D2282B33,Estimating Training Data Influence by Tracking Gradient Descent,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ2;RQ3;RQ4;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CW0C72B17B4D53D2282B33,sources/P0376.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
76,RESERVE_ALL,P0136,RG976625C97B397C86,CW9C2B7B062E703D076A3B,Discovering misannotated lncRNAs using deep learning training dynamics,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ2;RQ4;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CW9C2B7B062E703D076A3B,sources/P0136.html,HTML,FULL_TEXT_DISCOVERY_REQUIRED,NOT_ASSESSED_AT_BROAD_LEVEL
77,RESERVE_ALL,P0148,RG3A7602D6B87707B9,CWDBCB83413AE39433DC98,CLIPCleaner: Cleaning Noisy Labels with CLIP,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ4;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CWDBCB83413AE39433DC98,sources/P0148.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
78,RESERVE_ALL,P0398,RG589A6D8703C823B0,CW35612108A8415FE23190,Bridging efficacy and efficiency: Innovations in Shapley value estimation for model-agnostic data valuation in machine learning,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ3;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CW35612108A8415FE23190,sources/P0398.html,HTML,FULL_TEXT_DISCOVERY_REQUIRED,NOT_ASSESSED_AT_BROAD_LEVEL
79,RESERVE_ALL,P0393,RGB6A1DB2C51C56F87,CWDFB7B7D2A82D6DD00D42,Gradient Episodic Memory for Continual Learning,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ3;RQ6;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CWDFB7B7D2A82D6DD00D42,sources/P0393.html,HTML,FULL_TEXT_DISCOVERY_REQUIRED,NOT_ASSESSED_AT_BROAD_LEVEL
80,RESERVE_ALL,P0083,RG3B3863264B01E1E6,CW2A1C2DEF08814AEE339C,Adaptive Data Pruning for Support Vector Machines,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ2;RQ5,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CW2A1C2DEF08814AEE339C,sources/P0083.html,HTML,FULL_TEXT_DISCOVERY_REQUIRED,NOT_ASSESSED_AT_BROAD_LEVEL
81,RESERVE_ALL,P0405,RGFB9EA2D7778A4538,CWC252C50AE0A8BF611003,Delving Into the Training Dynamics for Image Classification,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ4,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CWC252C50AE0A8BF611003,sources/P0405.html,HTML,FULL_TEXT_DISCOVERY_REQUIRED,NOT_ASSESSED_AT_BROAD_LEVEL
82,RESERVE_ALL,P0483,RG69103EC78B06925C,CW70793D929B7407532A23,On Training Data Influence of GPT Models,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ3;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CW70793D929B7407532A23,sources/P0483.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
83,RESERVE_ALL,P0497,RG519B18C9F0CA5BFF,CWE9E3A73A26F5AA46E0A3,A Distributional Framework for Data Valuation,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ3;RQ5;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CWE9E3A73A26F5AA46E0A3,sources/P0497.html,HTML,FULL_TEXT_DISCOVERY_REQUIRED,NOT_ASSESSED_AT_BROAD_LEVEL
84,RESERVE_ALL,P0172,RGBB134DBE39ADF510,CWDF2D8DD117C507D09FD3,Improving Data Quality with Training Dynamics of Gradient Boosting Decision Trees,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ4,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CWDF2D8DD117C507D09FD3,sources/P0172.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
85,RESERVE_ALL,P0303,RG0926FDC65CAFBB83,CW2629655BAA19B5AD422D,Daunce: Data Attribution through Uncertainty Estimation,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ3;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CW2629655BAA19B5AD422D,sources/P0303.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
86,RESERVE_ALL,P0482,RG5E359FEAABA234FA,CWFCDD65CD0293026BF95C,Witches' Brew: Industrial Scale Data Poisoning via Gradient Matching,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ3;RQ5;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CWFCDD65CD0293026BF95C,sources/P0482.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
87,RESERVE_ALL,P0063,RG59238E96B008672F,CWD64B18B9EF5A79157B03,Enhancing Training Data Attribution for Large Language Models with Fitting Error Consideration,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ3;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CWD64B18B9EF5A79157B03,sources/P0063.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
88,RESERVE_ALL,P0318,RGB20F30EECB4050E3,CWE3572132FC6F3DC7C5F1,Concept Influence: Leveraging Interpretability to Improve Performance and Efficiency in Training Data Attribution,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ3;RQ4;RQ6,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CWE3572132FC6F3DC7C5F1,sources/P0318.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
89,RESERVE_ALL,P0175,RGA0869E4BB40C0D4B,CW37A7BBEA9BA08FC39C26,Distill Gold from Massive Ores: Bi-level Data Pruning towards Efficient Dataset Distillation,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ3;RQ4;RQ5;RQ6,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CW37A7BBEA9BA08FC39C26,sources/P0175.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
90,RESERVE_ALL,P0365,RG1566F6706465CA34,CW3CD94232AF698C36692D,Probably Approximate Shapley Fairness with Applications in Machine Learning,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ3;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CW3CD94232AF698C36692D,sources/P0365.html,HTML,FULL_TEXT_DISCOVERY_REQUIRED,NOT_ASSESSED_AT_BROAD_LEVEL
91,RESERVE_ALL,P0204,RGE2024D354EF2D0A1,CW98583D9FDAB29511E544,Data Attribution in Large Language Models via Bidirectional Gradient Optimization,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ2;RQ3;RQ4;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CW98583D9FDAB29511E544,sources/P0204.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
92,RESERVE_ALL,P0461,RGD0564510AF2F98BF,CW54FEC581711A6E9389EE,PropMix: Hard Sample Filtering and Proportional MixUp for Learning with Noisy Labels,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ4;RQ6,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CW54FEC581711A6E9389EE,sources/P0461.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
93,RESERVE_ALL,P0006,RG34565DCEB4CDAA78,CW7AB0E11DDAF5F1CEA026,Training Robust Deep Neural Networks on Noisy Labels Using Adaptive Sample Selection With Disagreement,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ4;RQ6,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CW7AB0E11DDAF5F1CEA026,sources/P0006.html,HTML,FULL_TEXT_DISCOVERY_REQUIRED,NOT_ASSESSED_AT_BROAD_LEVEL
94,RESERVE_ALL,P0035,RG7AB127E7FCC79BF3,CWA3337B61D35435791915,Understanding and Mitigating the Bias in Sample Selection for Learning with Noisy Labels,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ4;RQ5,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CWA3337B61D35435791915,sources/P0035.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
95,RESERVE_ALL,P0036,RGA80193BF398DF2BD,CW152BC38D8C913ED84FAE,Interpreting single-cell and spatial omics data using deep neural network training dynamics,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ4,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CW152BC38D8C913ED84FAE,sources/P0036.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
96,RESERVE_ALL,P0477,RGD41FE33CB6EE97F8,CW84A98F542B2EE0936231,How to measure uncertainty in uncertainty sampling for active learning,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ2;RQ4;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CW84A98F542B2EE0936231,sources/P0477.html,HTML,FULL_TEXT_DISCOVERY_REQUIRED,NOT_ASSESSED_AT_BROAD_LEVEL
97,RESERVE_ALL,P0153,RG2CDE7C7830A93445,CW81993DB55DF0D5F3BB35,Exploring Training Data Attribution under Limited Access Constraints,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ3;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CW81993DB55DF0D5F3BB35,sources/P0153.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
98,RESERVE_ALL,P0064,RG658C7C3E49748417,CW03774EE82D8D524FFA68,A Study on Training Data Influence for Identifying Inaccurate Instances,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ3;RQ4;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CW03774EE82D8D524FFA68,sources/P0064.html,HTML,FULL_TEXT_DISCOVERY_REQUIRED,NOT_ASSESSED_AT_BROAD_LEVEL
99,RESERVE_ALL,P0078,RG9702F7C85E27472D,CW1128CF8427B259632B54,An assessment of data-centric methods for label noise identification in remote sensing data sets,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ4;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CW1128CF8427B259632B54,sources/P0078.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
100,RESERVE_ALL,P0476,RG2DCC19E9C3A5D5E1,CWB278F4162248E92B27A9,Mitigating Memorization in Sample Selection for Learning with Noisy Labels,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ4,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CWB278F4162248E92B27A9,sources/P0476.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
101,RESERVE_ALL,P0304,RG4DBE04EFAEAC4D3C,CW21A1B0518AF9528A56C7,Outlier Gradient Analysis: Efficiently Identifying Detrimental Training Samples for Deep Learning Models,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ2;RQ3;RQ4;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CW21A1B0518AF9528A56C7,sources/P0304.html,HTML,FULL_TEXT_DISCOVERY_REQUIRED,NOT_ASSESSED_AT_BROAD_LEVEL
102,RESERVE_ALL,P0462,RG97EB18B8A5831355,CW22A005244AFACBD0BFEB,Self-Paced Curriculum Learning for Visual Question Answering on Remote Sensing Data,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ5;RQ8,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CW22A005244AFACBD0BFEB,sources/P0462.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
103,RESERVE_ALL,P0369,RGDEC48B539D1AAC51,CW0393C46B39C61B6DD04D,Symbolic Mechanistic Data Attribution: Tracing Training Influence to Learned Behavioral Policies,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ3;RQ8,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CW0393C46B39C61B6DD04D,sources/P0369.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
104,RESERVE_ALL,P0315,RGD04565CD4B9DBD6B,CW15DE5CEFF71E806E1716,Iterative Learning with Open-set Noisy Labels,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ4;RQ6,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CW15DE5CEFF71E806E1716,sources/P0315.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
105,RESERVE_ALL,P0221,RG8E5DC4ADFD13AB52,CW97726F9BDE0238A95B17,Objective Shaping with Hard Negatives: Windowed Partial AUC Optimization for RL-based LLM Recommenders,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ2;RQ3;RQ6;RQ7,D3_INFERENCE_CONTROL,TARGET_METRIC,MIXED,PROVISIONAL_RESERVE,RESERVE_CW97726F9BDE0238A95B17,sources/P0221.html,HTML,FULL_TEXT_DISCOVERY_REQUIRED,NOT_ASSESSED_AT_BROAD_LEVEL
106,RESERVE_ALL,P0452,RG464F51235B97F9B9,CW1F8818457FE587C56840,Bootstrap Neyman-Pearson test for knowing the value of misclassification probability,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ8,D3_INFERENCE_CONTROL,TARGET_METRIC,MIXED,PROVISIONAL_RESERVE,RESERVE_CW1F8818457FE587C56840,sources/P0452.html,HTML,FULL_TEXT_DISCOVERY_REQUIRED,NOT_ASSESSED_AT_BROAD_LEVEL
