reading_rank,selection_role,paper_id,queue_id,canonical_work_id,title,quota_rq,secondary_rqs,directness,relevance_class,effect_relation,selection_phase,tie_break_key,broad_source_path,broad_source_format,broad_source_sha256,broad_source_bytes,method_source_status,screened_credit
48,PRIMARY,P0421,RG59D71061A4A82A64,CW86CA40B23FC456AF4511,DONOD: Efficient and Generalizable Instruction Fine-Tuning for LLMs via Model-Intrinsic Dataset Pruning,RQ3,RQ1;RQ4;RQ5,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,MIXED,GLOBAL_FILL,2696E25C8E7A51F8544512C62669BE890D4B44F670F3AE94F6CC894B4A69DD45,sources/P0421.pdf,PDF,B2AA456D4A57827555DA00E0A4DF463B3607EFE34F65E3FF8009F0938659045D,1508854,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
49,PRIMARY,P0008,RGFAAC8BB358F58FF9,CWF17C6BED9EE1843630C7,Leveraging Peer-Informed Label Consistency for Robust Graph Neural Networks with Noisy Labels,RQ4,RQ1,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,GLOBAL_FILL,27820DE9E7C93C5AE846855555150EA831BD9EA3C55303922ACDBFA8B3E35852,sources/P0008.pdf,PDF,9AC496B82337F71F9E04AFD56A815F790584F4D65BF607EB82B1866CEB546D59,306426,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
50,PRIMARY,P0277,RG6A99D9A8BA5D4438,CWEA1D5642AD3D6D71FF9A,Learning with Noisy Labels Revisited: A Study Using Real-World Human Annotations,RQ8,RQ1,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,RQ_MINIMUM,290ACD96E95D6436657AA4C107EE6DDEDFDC72A0CAAB2E213F029B0427B02032,sources/P0277.pdf,PDF,10901035EDC73E06CED8745C6C9F71B6FF2096F5B3824D063A0C0405281A5F69,1081214,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
51,PRIMARY,P0149,RG66EE28DBBBD15BA1,CW05F50399D1896ED05A56,Deep Bayesian Active Learning with Image Data,RQ7,RQ5,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,29D576A584A10CEF5880620DC4FF979704AB23BCEF180B4779BD9546A87481CD,sources/P0149.pdf,PDF,A77DBD956DB991948D78417945A4650B0D45E3D03655F57343467DE79D8FA4C9,724240,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
52,PRIMARY,P0111,RGD709BAFF67BA1294,CW9313E9D4B1AA4165177E,A Probabilistic Interpretation of Self-Paced Learning with Applications\n to Reinforcement Learning,RQ8,RQ1;RQ5;RQ6,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,MIXED,GLOBAL_FILL,2A3318508B2FD0FEA3CF664A2A7847F07B17E88FF09FB802907A78982B58E632,sources/P0111.pdf,PDF,0E1278EED912986E07B6FDE89AD4ECF84981A9847A3A1F68579B38886FC25988,4470379,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
53,PRIMARY,P0137,RGD6744A33C84AA47F,CW2E9EA87882D74BF36AF5,AudioDER: A Deduplication-Enhanced Reasoning Dataset for Post-Training Large Audio-Language Models,RQ7,RQ5,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,2A5F145921FD6BA5C5DCBC1CC98ECFF3DBEEFA974625B73239C03229C860C98A,sources/P0137.pdf,PDF,C232B0D436CA3C02FA62A64CBCBDDB699197C04140BBDE7BE51DDB1B6D612DA2,3624177,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
54,PRIMARY,P0335,RG3400A46DCFDF8015,CWA5A6D9D47197F81F77EC,Continual Safety Alignment via Gradient-Based Sample Selection,RQ3,RQ6;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,2BA33DBCCFDAB1BFC186A36A640B71A4EDA44FE17526A9B975AA6F4811E7275D,sources/P0335.pdf,PDF,C69BF7D3D96D2759715F4741806027740EA395DB7464365724D1DEDDD6164798,721031,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
55,PRIMARY,P0208,RG3D45FB82085FF2A7,CW3FFF892EFE9D0A1F2CA7,FINE Samples for Learning with Noisy Labels,RQ3,RQ1;RQ4,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,2BDC6BB3ADF6627586FEB318053143BA1273855F6D2414912D14B1B3EEF3C61C,sources/P0208.pdf,PDF,6B7C49A986065F2856F83FAD29697EEACB765F45858BFFC593B891ADCE47E6EC,1174201,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
56,PRIMARY,P0434,RG684EB7423D2502C7,CW7F0F13E4BCFFC5B276C8,DRIFT: Refining Instruction Data via On-Policy Data Attribution,RQ7,RQ3,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,GLOBAL_FILL,2C93AF6789A18E68C887C12CA28C7B60464103390D3B47D0EC1699B44BDB295E,sources/P0434.pdf,PDF,8D071CEA2475EADBED3063DC64DCD1EC192F133C00B5A5BEC26040C867B84EB4,1561725,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
57,PRIMARY,P0419,RG8091C63BD608CE7E,CW0C6061E28041372E480D,Investigating the locality of neural network training dynamics.,RQ2,RQ3;RQ6,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,GLOBAL_FILL,2CF3BAF838B83C37E701CCE54C6D93460063D6353DA949FFB054742515912428,sources/P0419.pdf,PDF,76AE410E35C97B619AFE07652A6B80291465D0FD56C8388074E6E551CE8D65D8,3134824,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
58,PRIMARY,P0445,RG62D350DB6CD76259,CWEBFB36A95AA2316D6377,Adversarial Coreset Selection for Efficient Robust Training,RQ3,RQ5;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,2F386715ACD58C8A5D72C847EE4D255599083456C8F2CAF5CC280EDE2437BADC,sources/P0445.pdf,PDF,966733F44997F9262AB853AD2DE7BA97B1858B1658119E9F2390104A9EB9B53F,1028154,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
59,PRIMARY,P0230,RGF8C2039E080FB945,CWCD6ACD386DDB572E3357,GORACS: Group-level Optimal Transport-guided Coreset Selection for LLM-based Recommender Systems,RQ3,RQ2;RQ5;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,2F6BFB0198081038F17B7669486D890060E2B40EFCB8C0E56E8267F900414C78,sources/P0230.pdf,PDF,657C23561DB53B6DBA48AA35585AD26974A629711FAF5DCB83BAA40078E6B821,1246760,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
60,PRIMARY,P0496,RGF640CA8578B258F1,CW315DA2C202239EFD6281,Self-Paced Learning for Neural Machine Translation,RQ2,RQ1;RQ6,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,2F77DCCBD2A1E429BA228E20F9F5652297E0080ECA23F6646D68E98FCCD31D73,sources/P0496.pdf,PDF,990DA7747896671BB266B489238F579FBEA486AF6963F50FEDC70ADABF8912C8,1363385,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
61,PRIMARY,P0338,RG89CDA19BD25B4468,CW0D6BE41715C509B33E1E,Feature Distribution Matching by Optimal Transport for Effective and Robust Coreset Selection,RQ4,RQ6,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,3237B3C250B05C560510D78FC7C887A471B10F8D4E3B177A647B0D375FF77F75,sources/P0338.pdf,PDF,DCD6AB2C53575721BF7CD9D31E20969A125079DC32BFE9F02B6DB47D60003AAD,643539,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
62,PRIMARY,P0081,RGFB5E83D2FC9638A7,CW13AE7BA0E4DC27D9DC45,GRACE: A Dynamic Coreset Selection Framework for Large Language Model Optimization,RQ3,RQ1;RQ2;RQ5;RQ6;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,331E11586E8C412E3CF66E55D00C905847E85356AF4D4490E8C8385E5968EB6F,sources/P0081.pdf,PDF,617FF7A6C0D9DE31C19FAB0B0F94C773969FA4F20E116B00B175527779700AEA,1236196,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
63,PRIMARY,P0433,RGE1754B60E20FCE30,CWD6748874CDEB0C5CBE14,Measuring Fine-Grained Relatedness in Multitask Learning via Data Attribution,RQ5,RQ3;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,GLOBAL_FILL,33F84009B15D88126C571C171C535765260E52B090555695C482461E6C96C7CF,sources/P0433.pdf,PDF,ACD6179F2C39B1A1F50513F3EA8F85AAE1A903287E926D252711856DFE4F480E,873573,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
64,PRIMARY,P0437,RG7533D64E4CAC51D9,CW89E64871C5FEBFFE422A,SEEP: Training Dynamics Grounds Latent Representation Search for Mitigating Backdoor Poisoning Attacks,RQ6,RQ1;RQ4,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,GLOBAL_FILL,34185A7ED00FC4746E8F608A28114994588E59DC811128EDFDFDB9F903D76ACE,sources/P0437.pdf,PDF,0A0A51B5BDD2D74498EBD2CD812FF0B85EBEB4CE570261C846B58CA363D7FCE9,859326,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
65,PRIMARY,P0223,RG1F8DA90318835C3E,CWBA2FEFF96CB702BF93F5,Hierarchical Neyman-Pearson Classification for Prioritizing Severe Disease Categories in COVID-19 Patient Data,RQ8,NOT_APPLICABLE_WITH_REASON:no secondary RQ,D3_INFERENCE_CONTROL,TARGET_METRIC,MIXED,RQ_MINIMUM,34941487463E842BF34841A1CF6E0D479D70449F349E537D7B563D55ED8505A5,sources/P0223.pdf,PDF,4E40D1457B92523122D4553B02EDDB3946DCCBF820E8E4B82B1BC515981C1754,3369840,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
66,PRIMARY,P0281,RGD8011BA26E53F4FC,CWFABA55345666BE674E74,UNICON: Combating Label Noise Through Uniform Selection and Contrastive Learning,RQ5,RQ4,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,GLOBAL_FILL,35187591FA60A511D32BE90CEEFFB7BCA69FDE6FF4D3E94DB45BD8074C38E147,sources/P0281.pdf,PDF,F5BB0C951181300351F496D44041A5EB6599529199BB89E90CB3710DCDCB395A,2531250,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
67,PRIMARY,P0444,RGBA48D6EADE6CCE06,CW406BF6F36D3D609E3FAD,Human Not in the Loop: Objective Sample Difficulty Measures for Curriculum Learning,RQ2,RQ1;RQ6,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,351D2FBF77D84DBF861FC2858F4D22B746247D82B18A9800BA72C8AA884BA89B,sources/P0444.pdf,PDF,162FF180FF3E81DBDA846594194D99A1C31F0FF4E6DBF01CCAD9388B1734EEED,207612,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
68,PRIMARY,P0305,RGFF376765D4FA25D6,CW77454F69AF2609931984,Predicting cognitive scores with graph neural networks through sample selection learning,RQ3,RQ2;RQ5,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,38390524E4F6E8129DBEB92FC8C69F46880FAC871E74EEE8DF240F1C29A60D10,sources/P0305.pdf,PDF,2B364AC45FFCEE9BDDE52A40A7C48483DF3FF7CE0F2EDB897AE678BF411309A4,2157120,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
69,PRIMARY,P0374,RG86DA247B35C3DF85,CWB5B86A61D2D40B74403B,When Dynamic Data Selection Meets Data Augmentation,RQ4,RQ1;RQ5;RQ6,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,3BE7CDC1C25B08AEA1FD268BD005FAF6A264EA642BEEBC12A41E703CD94FE34A,sources/P0374.pdf,PDF,727173D8CC1DE0E2894B3D6E79EE949EDA376D3352F79206DB0858A94BC5F8EB,1325987,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
70,PRIMARY,P0464,RG2A2A999CD9DBC07B,CW047F1D8625935B7EDAA5,Mechanistic Data Attribution: Tracing the Training Origins of Interpretable LLM Units,RQ3,RQ5;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,3C7329728CDA5B7C3DAABC8E4B4E69536E4F3183453A1045BFCA9BAD00A7B6CF,sources/P0464.pdf,PDF,C728E7DC7ED3EE0554C3D54C64B3C0B47BDD204CBACF6198872D069D881BD997,2615305,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
71,PRIMARY,P0431,RG9E8D0DEFF0281A38,CW83240BB64D768CDA3BD5,Exploring 3D Dataset Pruning,RQ3,RQ1;RQ5;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,3CE7A480EDEA30C1C666F25E5FCC0036871202CA490750C9B4D41625A444BBEE,sources/P0431.pdf,PDF,126500E8217C8420A49E2C60FDB32A0B5C32D4A5691C692FC153A79EA7CA471B,835548,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
72,PRIMARY,P0019,RG407CD6578E5B48CD,CW9B98A6E0E5FACF87A7EA,Investigating Multi-source Active Learning for Natural Language Inference,RQ4,RQ1;RQ5;RQ7,D1_DIRECT_UTILITY,STRICT_CONTROL_NEGATIVE,NULL_NEGATIVE,COUNTEREVIDENCE_MINIMUM,3D0B37B5ED735B834960EEE9DF7A58DCCE83B11D86E279A98B1B8DB8FE7222FC,sources/P0019.pdf,PDF,972BD53306DEF3A83BDCD5DD161D06C7D77520FA0C44C1A15A8BCDA3DA27681F,3245207,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
73,PRIMARY,P0003,RGBB8E4E864A80CC35,CWF8F6623D2632364B5CFB,GRAD-MATCH: Gradient Matching based Data Subset Selection for Efficient Deep Model Training,RQ3,RQ2;RQ5,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,3DEF70A4E7BEB752B8523CFC11BB4DACD89114EBE74E6FCBBC7773EF8B824BFB,sources/P0003.pdf,PDF,27CA3618BE53A4F5F4F783A48629D2A17C0D7C93FAFE359E6729CBB18879CE79,1120432,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
74,PRIMARY,P0246,RGDEB01B6B3033B87C,CW1221E81AF323D285E1A0,Multi-Label Noise Robust Collaborative Learning for Remote Sensing Image Classification,RQ1,RQ5,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,GLOBAL_FILL,3FCB2C61D5088416C4A79DEF4986CF0C09AAD3E9E1DB5AB77A7402230CD2A0D5,sources/P0246.pdf,PDF,65B87E81995FAF6BF91C62B9A699A245626437E82CE58BBA0C3FCF1676C1646A,2396628,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
75,PRIMARY,P0379,RGD6236EB3C8AFB0E1,CW658F3FA001DE8E131A30,Open-set Label Noise Can Improve Robustness Against Inherent Label Noise,RQ4,RQ1;RQ3,D1_DIRECT_UTILITY,STRICT_CONTROL_NEGATIVE,NULL_NEGATIVE,COUNTEREVIDENCE_MINIMUM,3FFADC1E6DD2E5B298CDB745E0F16A07924C68070A545EA0317CD0285430E95C,sources/P0379.pdf,PDF,7FABCB36EB122F0097FBCEBB829E2DA83EFD1E4C8AD7BEBD995EABDFB50E6901,709283,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
76,PRIMARY,P0413,RG1A1D4588C6520D5C,CW8939FBD49E6B4E72E7CA,A Novel Text Sample Selection Model for Scene Text Detection via Bootstrap Learning,RQ5,RQ4,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,MIXED,GLOBAL_FILL,406978CAB76F0E9969747EB29FC274047BAC89EB3B2735C1ABBB2B7AB62477E7,sources/P0413.pdf,PDF,C6C756B42DF527D2B3DF4E24B93EDE06733930D86A33788BBC696A21A009F1D5,878959,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
77,PRIMARY,P0198,RGE8A424B22CF65CEC,CW50D21FC725813C0F96F7,SSR: An Efficient and Robust Framework for Learning with Unknown Label Noise,RQ4,RQ1,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,GLOBAL_FILL,408CBB00267D2F02CA7CEDA78F15536EA1228ED44C32F8824102F83B1A570FC1,sources/P0198.pdf,PDF,367B71881B372D42B8F4BF8C5CFC84EF1B1EF2DF14E239627C562F2875F3F551,8833197,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
78,PRIMARY,P0244,RG9202ADA415606F0D,CW9483ABF9F88AC9D80A20,Data Pruning in Generative Diffusion Models,RQ2,RQ5,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,41C8064D8E6AEB39D09C1320BB0BDA33629E7A8C6A29AD2B6D74D61C79693469,sources/P0244.pdf,PDF,7D8F98F25AF0C30885FF8A1016FAE7795F758081A85B5E61800879AD6A3A3A72,20903694,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
79,PRIMARY,P0239,RG39E18190653FB0F2,CW4B85D089340873B51F62,Intentional Control of Type I Error Over Unconscious Data Distortion: A Neyman–Pearson Approach to Text Classification,RQ7,NOT_APPLICABLE_WITH_REASON:no secondary RQ,D3_INFERENCE_CONTROL,TARGET_METRIC,MIXED,GLOBAL_FILL,42D94DE066205289C575FE42A95A16241C499926860F67FC4EDEAA169631D866,sources/P0239.pdf,PDF,30FE7262506A2E5B88CBB0692040E9B767990EEA48DC89DBEBC3751EFCD40C58,1589991,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
80,PRIMARY,P0302,RG68265A9BE3EB5FAF,CW4E0A031F59DD83EC1FCC,Deep Learning on a Healthy Data Diet: Finding Important Examples for Fairness,RQ3,RQ4;RQ5;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,4493F43B84FF08E4042565A5190586175603083AB77B2C37E04709D7575A0113,sources/P0302.pdf,PDF,2D0CBC86E0A311632F30510CD814FB85429206901A0467B4A2D72F053B84234A,507488,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
81,PRIMARY,P0448,RG881E24A52F6F6658,CW9E47E2A3E9C2567C7BE0,How does Early Stopping Help Generalization against Label Noise?,RQ6,RQ1;RQ4,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,GLOBAL_FILL,44986C3DA3F54CF3EA80A8F05AA747808AB5D00804DB7B2F73282417B69C2E92,sources/P0448.pdf,PDF,6A66DEC273A5E271E35EC020032DEC9D2C0B955D1671E688C7236FF2CD735368,1045398,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
82,PRIMARY,P0363,RG219DA456EDAF73B8,CW6B008D92FF1555EB421E,Curriculum Learning for Heterogeneous Star Network Embedding via Deep Reinforcement Learning,RQ8,RQ5,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,MIXED,GLOBAL_FILL,449EC37349504F153FD58BA0E7C4ED4A7E7527EA52EB60A88A017A6C835627E5,sources/P0363.pdf,PDF,EE3CE40BD7C8E08AD9649792357FDC47899F11A042A83FE5C4ACBC6585D14427,1654157,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
83,PRIMARY,P0085,RGD85FC74B4BBA0C70,CWFB35B6E012E192855E11,PRISM: Self-Pruning Intrinsic Selection Method for Training-Free Multimodal Data Selection,RQ4,RQ5;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,44F3C576A5B4CD90F78DB1FB49A00F1FFE9C20CCFFFD43A3069CCA539373FBCF,sources/P0085.pdf,PDF,7CEB28BD9CD9F60FD2C19339431D6BC4EDFE8C92343F1A76E689EF20B4500457,2627586,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
84,PRIMARY,P0399,RGD4F17A4EBAFB850A,CW9C041A345AED06B053B5,Influence Dynamics and Stagewise Data Attribution,RQ3,RQ1;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,GLOBAL_FILL,454F1BC598C9A36B7DB4C4A7F917AC130A3DF4EFB8C726DD594F0DA613750A7A,sources/P0399.pdf,PDF,DD4E715570D17E3287FF6EDC8EBA1F3D6EF8FFF67CBCA1749913F55EC75D3DCF,11434373,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
85,PRIMARY,P0270,RG8567435198F1DCE7,CW741C8AEC9F7891177D2D,Improved Hard Example Mining Approach for Single Shot Object Detectors,RQ2,RQ1;RQ4;RQ6,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,47E90D107366659F64253AF6E73CE32C4B4D21BBCD077FB58D96567D4C2B5DC9,sources/P0270.pdf,PDF,80BC7A8742C2714052D4EA6AD9D86F72BCC3EE93E4ACF8CBAFBF6D7E3F6A8687,764975,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
86,PRIMARY,P0355,RG51C5A93D0C5D87EA,CW9F31A1E6577365EFDF09,Competence-based Curriculum Learning for Neural Machine Translation,RQ2,RQ1;RQ6,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,4818B29215B62C19D875660B3286CA569C41B30E741E8769F68597C15D7954C5,sources/P0355.pdf,PDF,5DB360924D8032A6B46FC62AE5DA6F13968AEF642EDC756F37884045E9907E90,661424,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
87,PRIMARY,P0456,RG255C26ED82A4C79E,CWD26A127531BE295878FC,Calibrated Semi-Supervised Models for Disaster Response based on Training Dynamics,RQ4,RQ1;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,48F386E9AD66FC6DAB8065E93E5A57C2D2F61668A1F7EBC0E74C3818A3A53627,sources/P0456.pdf,PDF,2C1FBA1C419A85B1FCA3A65B4CD9AF254F503552282F0458E29C43D047192C70,282747,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
88,PRIMARY,P0450,RGD2A3FE973E21A100,CWF1C585B9B7AEFF9F3AAE,A Novel Multiview Sampling-Based Meta Self-Paced Learning Approach for Class-Imbalanced Intelligent Fault Diagnosis,RQ2,RQ1;RQ4;RQ5;RQ6,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,4A5B3E09BF5F0F7B5381BFF0361B1D12A4E6E20440FA02B30F86947495595A86,sources/P0450.pdf,PDF,E9D6ABC660DCAFDD35737AEE1668093372052FA992780C2EFF410A1966995FA1,1505647,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
89,PRIMARY,P0151,RG7DE7A2339D02CD1E,CWD09CD39DAA419D01F9A6,PARS: Pseudo-Label Aware Robust Sample Selection for Learning with Noisy Labels,RQ4,RQ1;RQ6,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,4A9CDC22E55D0C8B34BBABF85E040563E13B6FF4E78C1D796CBEEB53D74ADBFB,sources/P0151.pdf,PDF,23BA88266DD8907648CB8E76DA735E54137539216E8A420B5B460D0C083A4D50,1174750,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
90,PRIMARY,P0257,RG5156030DBF440F53,CW204FB727FD32DD4CF525,Neyman-Pearson multiclass classification under label noise via empirical likelihood,RQ7,NOT_APPLICABLE_WITH_REASON:no secondary RQ,D3_INFERENCE_CONTROL,TARGET_METRIC,MIXED,GLOBAL_FILL,4B33BE4F1938616FC53978F68C04E0D8EBA8D33826BD9FB50AFBD85A7106FEFE,sources/P0257.pdf,PDF,32DA7FEA79A0EF19A1BF425CE397EA3BB933BA4706BC2AD1B5A8C8F05C60AECE,2903984,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
91,PRIMARY,P0252,RG36B21FEDF2B54743,CWBBA912FD06660C54DF44,Logistic push: a regression framework for partial AUC optimization,RQ8,NOT_APPLICABLE_WITH_REASON:no secondary RQ,D3_INFERENCE_CONTROL,TARGET_METRIC,MIXED,RQ_MINIMUM,4B52A5BDA6ECE2721A2F0A822DB95D0B47A0F815FAC1FD01F4251893D691F4D2,sources/P0252.pdf,PDF,6FB2E5588DDAF4358FE6EC6CBB2B9E94D804A5A36A0496D7F5915E4F86A25FCF,336939,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
92,PRIMARY,P0105,RG1D0D158917FDF956,CW9ED6CCA50DB28E323413,Smart Cuts: Enhance Active Learning for Vulnerability Detection by Pruning Hard-to-Learn Data,RQ3,RQ1;RQ2;RQ4;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,4BA43E07874A5E53FE4B18DB9464E9C287702B37A82D6AA644E9FD2D77138331,sources/P0105.pdf,PDF,976A0D6476849AD2652D15DDA87980EB255A7724B8B52257CFD8B2F12635FBE2,3183768,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
93,PRIMARY,P0061,RG9C9AD73F23D54116,CW538E0F4861D2EB4BB06D,Learn the Time to Learn: Replay Scheduling in Continual Learning,RQ6,RQ1,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,4BC0F7AE0CD52E68E7C5A2C19463C67F6682BC7CD1CB7313450D7BAF6B817383,sources/P0061.pdf,PDF,C10C3AC54DD62ED5D38ED16E0AD446194A6F2779011B2489FA0EBF1007829D4E,857691,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
94,PRIMARY,P0023,RGBF50D1FDD58BCFE5,CW60DE20FF6EBD0732725C,A Structural SVM Based Approach for Optimizing Partial AUC,RQ8,NOT_APPLICABLE_WITH_REASON:no secondary RQ,D3_INFERENCE_CONTROL,TARGET_METRIC,MIXED,RQ_MINIMUM,4EBFB3706B16BB268AB6766AAB39C6910DA5B5FFD51DD00AED9361B9B7A2F581,sources/P0023.pdf,PDF,3181AD0BD445DEB002F3F3D6C4A415E5FA008F61219A79DE6078856DB84DF51B,258814,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
